free_text,label_id
"Như thế này thì tôi rất khinh người Bắc nói thẳng luôn là người Bắc, nếu cho là tôi phân biệt vùng miền thì tôi chịu chứ người này quá xúc phạm coi thường miền Nam, giàu nghèo là do ở con người đừng nói hay so sánh như thế thì khinh thường lắm",2
"Thích chân quang ko tốt nghiệp c3 còn thành ts luật đc mà, đủ hiểu trường luật chất lượng thế nào rồi",1
"Khỏi nói đâu xa đường hồng bàng tp HCM là nơi có rất nhiều bv tuyến đầu, tụi đi bão từ q6 lên... vẫn có một số đứa ý thức như cái đách què mà xông thẳng vào khu bv gõ nồi thổi kèn :))))) nói óc chó thì giận",1
"thêm nữa là thái độ phải tự tin và thoải mái. đi đường thì trang bị quả rbf và catwalk cho t. ngta hỏi thì bảo đi cùng nhóm, bảo đi business trip vs công ty, bảo ở nhà họ hàng, ncl cứ nói dối thẳng thắn.",0
"Với tư cách là một con người miền nam sống trong một môi trường đi ba bước gặp một người miền bắc, năm bước gặp một đàn miền trung như cháu, cháu cảm thấy mình hoàn toàn có đủ lý lẽ và bằng chứng để cho cái video này 2 like:)",2
"toàn bọn lừa đảo, tiền tập thể nó cho làm của riêng",1
"mà ổng cũng ko phải là thần tượng ấy, căn bản thì vẫn là nghệ sĩ thui",0
"Cảm ơn bác đã tạo ra một video hay như thế này. Cháu là một người con của ba miền( cháu sinh ra ở miền Nam, mẹ cháu ở miền Trung, Bố cháu ở miền Bắc) và hàng năm cháu cũng được ba mẹ dẫn về quê chơi nên cháu hiểu rất rõ những điều bác nói! :(",0
Đây mới là cá thể bắc thuần chủng chứ ko phải như mấy thằng trên threads mấy hôm nay nhét chữ vào mồm người bắc,1
"bê đê cái ám ảnh tâm lý, đĩ khùng",1
Nghỉ viêic và đến đó ăn như khách cho họ ohujc vụ m,0
"Nguyễn Sỹ Cương tông chết người không bị khởi tố là tin giả, tin sai sự thật do phản động lan truyền",0
Bá dơ + học ngu + bỏ học + thất nghiệp + ktv tương lai,1
Có cả gốc hoa và gốc cam à admin,0
nghe quen thế nhở,0
Vì vậy mà đến giờ tôi vẫn thấy sợ con gái thật sự để mà nói thì tôi mất niềm tin luôn rồi,1
t thấy từ nay nên nghĩ gửi đại diện thi MW luôn đi này có thi 100 năm nữa cũng ko có win đc đâu,0
"Vậy mày chưa biết rồi. Người k biết chữ họ nhờ người khác viết. Cô mày non vkl, thua cả thằng học cấp 3 như tao",1
Chủ quyền Việt Nam! Bị đe doạ nhưng báo chí trong nước ko hề đưa tin. Ko những vậy họ còn xoá hết những bài viết nói về việc TQ xâm lược xâm chiếm xây dựng căn cứ qs ở HS- TS chỉ cách Đà Nẵng 400Km.,0
Phải nhường nhịn trên chính đất nước của mình thì là thất bại rồi,0
"dần dần thì có lẽ mọi người sẽ sợ cái đẹp của đàn bà hơn là thèm khát (một cách bản năng), vì chúng nó dần bị úng não và gây ra quá nhiều hệ lụy",2
Yêu nước nhưng không thể để con mình sống với bọn mọi rợ,2
"Ở nước mình, phải nói là vin khôn thứ 2 k ai dám dành thứ nhất. Nếu Vin mà vỡ nợ, dân ba cọc ba đồng gánh. Nếu Vin có lãi thì Vin bỏ túi Vin :)))))",0
"Ông chưa biết này đào không chỉ 1 lần mà cái bài từ năm ngoái lại đào lên đăng để câu tương tác, thế mà bọn fan não tàn đó còn bảo là không nhắc lại để vụ này trôi",1
Mong bệnh chú tái phát thêm để đc xem video phong cách xưa,2
"Sống đủ lâu để thấy quốc hồn, quốc túy bị chính dân mình sĩ nhục và lăng mạ
Thật là chán nản",0
4:02 ngửi phê mà chú,0
Cố ý chứ ko tự vệ,0
ông thì biết cái j,0
Khi 1 khúc thịt cương cứng xen giữa những thớ thị mềm mại trong 1 căn phòng sang trọng cùng với lời hứa về 1 tương lai tốt đẹp thì những ngày tháng vật vã trong căn được gọi là nhà 7 hay 8 năm chả là gì,1
Dân Ấn Độ sống như thời nguyên thủy vậy,2
"cá nhân nhất là tao ghét sự õng ẹo của tụi gay, gớm chết đĩ mẹ. Õng ẹo, không phải nữ tính. Cái thứ 2 là sự dơ dáy về tính dục, dục vọng của tụi nó.",2
Thầy như này dạy dỗ gì được,0
Vụ này vụ khác mà :))),0
Việt Nam thắng 2-1,0
Roi nó bị phạt tiền ngu chưa,1
Cảm ơn b nha sau Aeon mall hx xây xong đừng tới nha chật lắm,0
Tháng 7 mà bạn..làm công quả thôi..Hoan hỷ,0
"Nguyên tắc công sở ko bao giờ:
- joke về ngoại hình, quần áo của đồng nghiệp (kể cả là khen)
- sếch joke
- chạm vào cơ thể đồng nghiệp nữ",0
chịu,0
"Thương bạn Khải, cùng team của bạn đi xây, đi sửa trường vùng sâu vùng xa. Cô giáo như tụi mình cám ơn còn không hết. Vậy mà lại bị mang tiếng oan. Nếu không có bạn cùng các cộng sự thì bon của trường mình không được như ngày hôm nay.",0
cuối cùng cũng có người theo suy nghĩ của tôi,0
"Công nhận =))) sáng 5h đi qua hầm thấy đông đông tưởng có tai nạn hoá ra mấy con zời vẫn bão, lẫn tan. Nói thật chứ chỉ có đầu đất mới bão giờ í thôi. Vui vẻ 1 2 tiếng rồi té về là đẹp, đây 5h sáng vẫn nhồng lên gầm rú ầm ầm trông ngu thật",1
"Ừ =))) tôi không quan tâm ước mơ ULIS của em, nhưng em thi GDCD cao điểm nhất mà em hành xử côn đồ đến vậy với chính người thân
Tuyệt lắm em",1
Dcm t thấy hnoi khổ vl đấy cno cứ mở mồm ra là kêu hnoi hết cái này đến cái kia xng nhm lại bám lấy hnoi mãi đ chịu buông... dcm đúng là cái lũ yêu của nghét người,1
"tối hôm qua có việc về muộn, biết là có bão nên mình phải chọn cái đường vắng tanh vắng ngắt để đi rồi, đến đoạn ngã tư dừng đèn đỏ, có 2 thằng loi choi c2 cầm cờ hú còi phóng qua, k đội mũ rồi vượt đèn đỏ xong tạt đầu xe làm mình tý nữa ngã kềnh ra đấy, vui thì vui chứ gặp mấy thành phần nthe bực",1
Con này cho ăn chứt với lá xoan thôi,1
"Hoá ra là nuôi giặc trong nhà rồi
Giờ t bị leak cái gì ra ngoài thì ae tự hiểu là do thằng tuất nào làm rồi nhé. Nó còn có cả 1 bầy wibu hỗ trợ t cũng được các bạn khác chỉ điểm cho rồi
Sáng nay bố t phải lén lút lên phòng nó mới lấy được chiếc điện thoại đó nhân lúc nó ngủ =)) con chó này thế mà khôn, nghĩ ăn cắp điện thoại rồi rình xem t sơ hở gì. Đấy, đòi giết xong lại đánh đòn tâm lý cố muốn giết tiếp đấy
Có dám cúi đầu như này xin lỗi t không ?. Ép t rút đơn tha à? Có cl",1
"Nom thế thôi toan tính phết đấy ạ. Mấy bài công kích quá khứ dù t đã đính chính rồi hoá ra thằng tuất này với team vẫn cố gắng chèo lái =)))
Tự quả quý bửu nộp học bạ tại trường CĐ cũ ( cái trường thiếu chỉ tiêu nộp auto đỗ ) để né nvqs, tiện được thả xổng ra đi ở riêng.
Còn 1 nguồn chưa chính xác lắm thì tình yêu vẫn xanh mượt thôi, mình KHÔNG LIÊN LẠC HAY DÍNH LÍU gì tới chuyện con coser đó hay bbe coser nhé, mấy ẻm cứ điệp viên nằm vùng thôi
Còn yêu th này, dính th này, nồi nào vung đấy",1
"Thích nhất có em Tình..
Thả tặng các bạn diễn viên nha.",0
hay mà nhìn thấy nó la nhìn thấy nghét,1
là Minh Nhựt,0
Bà ơi yên tâm để tui combat vs bà thiệt là mấy đợt tai nạn chết ngừi này kia tui đã ko mún đi nx r toàn ở nhà ngủ mà s cái bọn này lớn hết mẹ r ko bk cái ý thức vứt ở đâu nx :))) bảo dân trí thấp thì nhảy dựng lên :))) r bào chữa cho mình là VN vô địch thì tụi t đi ăn thâu việc m à r cái j vì nước qên thân :))) má hk hiểu lun :))),1
"Khốn nạn, chỉ có bỏ cho nó đi luôn làm mèo mắt gà đồng.",1
Nhìn đã hãm rồi.Cứ tưởng mình là gì chứ,1
Xem xong 2 nước Ấn độ và Bangladesh thấy khiếp vía luôn!,2
xe tăng vlog,0
chưa biet,1
Chắc kiếp trước nghèo tới nỗi ko có tiền mua bánh mì bữa sáng hằng ngày của mỗi người không thể nào bỏ qua vụ nhỏ này đc,0
Óc chó cứ thích lên mạng làm anh hùng,1
"Mấy thằng Nam Kỳ nửa mùa thôi mà
Sinh ra trên mảnh đất Nam Kỳ nhưng không có được cái hào sảng của Nam Kỳ.",1
người ta luôn đẩy người đang sống vào đường chết đó lại khuyên can người sắp chết dũng cảm sống tiếp,0
"Con này nhà nó giàu,nó nổi tiếng nên nó khinh người",1
"xong rồi e xl e lỡ dại,",0
Pó tay,0
tôi thấy Trọng tài trận này rất công tâm,0
"mới dềnh thôi mà cậu, qua cổ mới là ngập nhé",0
gặp tao chất nghỉ dạy,0
"Điên vl, xem đá banh chưa đã hay sao mà nửa đêm còn hét lên, đạp thụm thụp vào tường phòng người ta vậy mấy con điên? Đang ở trong bệnh viện đấy, hay chúng mày qua khám luôn não đi chứ người thường đéo thể ngu vậy được. Cả tầng hơn 50 người bệnh cần nghỉ ngơi, éo hiểu ý thức để đâu?! Má, phòng t có 2 cụ bà trên 80 đang ngủ thì bị mấy đứa mất não làm thức luôn :))) Nhắm khỏe quá về nhà đi, phiền vl, giờ phòng 3 người bệnh mất ngủ 🙃",1
"thằng trẻ con còn khinh cho vì già đầu rồi mà tư duy hạn hẹp, văn hoá thì thấp, mở mồm ra là thấy đạo đức và văn hoá k có, ăn nói chả khác gì phường chợ búa mọi rợ",1
"Đi học trường tiếng với mấy b nepal, ăn carri nhiều nên tuyến mồ hôi vừa mùi vừa vàng vàng, con trai thì cả tháng mới gội đầu, con gái thì để lông nách rậm rạp",2
"đúng vs câu cuộc sông ko khó , chỉ con người lm khó nhau thôi",0
"Mấy thằng nguyên thủ Canada còn mê mấy thằng mọi trung đông là đằng khác, tại trùm chuốc thuốc bắt cóc người với bày đủ trò bạo hành phụ nữ. Người Việt thì thấy bị truy tố tội hd chứ mấy thằng mọi Trung đông tuyệt nhiên k thấy thằng nào, cùng lắm lên báo tội thôi miên ăn cướp trang sức thôi",2
"Ủng hộ nha ,ai mượn dồn vào đường cùng",0
đừng có ra vẻ thanh cao. m gặp ng thanh hóa ở cùng ng thanh hóa chưa,2
Em cực kì cực kì mê bánh mì luôn ngon lun á,0
ý là có trả nhưng thiếu 6 nghìn đồng chứ ko phải quỵt đúng ko ?,0
"Vừa đọc trên mạng 1 bài nói về tôn giáo, ở VN thì ít người theo thiên chúa giáo và không có tôn giáo chính thức, nhưng các nước đề cao tôn giáo thì họ thấy người vô thần như sinh vật lạ hay sao ấy
Kiểu không có tôn giáo thì họ không biết làm sao người khác sống có đạo đức ý?",0
"Kênh này nói cho quá , chủ yếu câu like thôi . Có gì to tát đâu mà Dra ma với Dra quỷ . Jun Phạm vẫn giỏi và đỉnh nhen , không thấy chương trình nào cũng có mời cậu ta sao . Cứ đợi xem hết chương trình đi thì sẽ biết ai nổi trội thôi .",0
Nên yêu cầu thanh toán trước. Giống như đi bus phải quẹt thẻ vậy,0
"""Đi lên từ nhờ vào cách ăn nói,đi xuống cũng vì cách ăn nói""",0
Wa chuẩn trong tài,0
mấy lần t đi ăn một mình bị hỏi t đều bảo bị cắm sừng :)) tại mặt t trông cx lạnh lạnh sẵn + hay dùng đt nên ngta nghĩ t bực và để yên,0
"4 chân tốt, 2 chân xấu:)
Giờ tốt hay xấu nhìn nhãn là biết ngay",0
"Cảm ơn Khánh Ngọc đã chia sẻ bài viết hay, giúp cho cánh đàn ông thấy rõ cái sai lầm của người phụ nữ lăng nhăng, khi phụ nữ thường lên mạng facebook nhiều giờ mỗi ngày, và kết bạn với nhiều đàn ông lạ, chắc hẳn là có vấn đề rồi",2
"Nói thật đợt 5000 người Ấn qua du lịch, họ không thích tiếp khách ấn vì họ hôi bẩn, lúc họ đi phải vệ sinh cái phòng họ ở nó ám vào phòng mất thời gian không đón được khách khác.",2
"Thà ăn bình thường chê cũng được, nhưng ăn mà nhổ thì quá vô duyên và tiếc đồ ăn",1
"Tui cũng nghĩ vậy, bớt dc nhiu thì bớt",0
quan trọng là kiếm có ra cái gì k á,0
"Các bạn đối vs những hành động và phát ngôn chưa hợp lí của chị cũng ko nên tạo làn sóng tẩy chay dữ dội như vậy, cj ấy còn trẻ và còn nhiều bài học",0
"Reup lại phốt BLGĐ của nhà kia cho yêu nào chưa kịp hóng nha, đang đi xoá cmt tẩy trắng r kìa :)))))))",0
buồn cười là genz về cơ bản lấy trung bình thì mới có 7 năm là phù hợp bước vào lứa tuổi lao động và còn 3 năm chưa đủ 18 tuổi mà suốt ngày cái gì cũng đổ tại genz,0
"Fetish nó dựa vào dục vọng, tham muốn chứ ko liên quan gì tới thích đua xe, đánh lộn. Bằng chứng là nhiều gay 6 múi, hung hãn ngoài kia. Anh bạn cẩn thận nhé, chỉ cần một mồi lữa đúng lúc thì cái phần nam của anh bạn nổ tung mà bay đi mất đấy.",2
miền Nam ko có xe hơi nhiều nhưng có rất nhiều quán ăn không đồng để giúp đỡ cho người nghèo khó khăn,0
Đồ não heo không cứu nổi luôn,1
"Nếu bọn nó im ỉm mà sống như người bt thì k ai ghét bọn nó đâu, chỉ là bọn nó lên media cào loz đòi quyền thượng đẳng, tuyên truyền + lôi kéo đám con nít ấy nên người ta mới ghét",2
Non sông dễ đổi bản tính khó dời. Bây giờ có ít tiền mới lộ bản chất,0
Đến dân Ấn còn chịu không nổi bọn Ấn mà. Cái tôn giáo khốn nạn tàn nhẫn đã ăn vào máu huyết dân tộc này!,2
177 tỷ! Kinh quá,0
Đm lũ mọi rợ,2
"Mẹ nó chứ, cả cái sân vận động này toàn là phụ nữ và tất cả đều đang mơ được hẹn hò với cô ấy đó. please stop!",1
Cái miệng hại cái thân :)),0
Video tưởng đưa tin nhưng mà là ăn tiền pr cái show này.,0
"Chồng cũ của t, từ lúc cưới về đến khi ly hôn, t ko bao giờ cầm đc tiền của ổng vì tiền ổng làm ko đủ ổng tiêu. Rồi đay nghiến t. Ổng nghĩ t ko dám ly hôn vì t là người Công giáo. Cho đến một ngày t quyết định ly hôn vì ổng ngoại tình",0
ai chứ th mọi đen dembele cũng xứng đáng bị pbct lắm :)),2
